工作/测试,时间,fpga时间,机械方位角,俯仰波束中心角,跟踪航迹号,CPI计数,周期计数,点迹距离,点迹方位,点迹俯仰,点迹速度,和路强度,方位强度,俯仰强度,方位差和比,俯仰差和比,波形模式,点迹多普勒标志,多普勒基底,距离基底,航向角,纵摇角,横摇角
搜索,2025-1225-15 07:54:48:000,573585,76.53,27.5,0,10339,107,3793,76.22,24.09,0,3312.72,420.09,2873.74,0.13,0.87,长脉冲,无效,223.055,115.463,0,0,0
搜索,2025-1225-15 07:54:48:000,573594,76.91,-2.5,0,10344,107,4087,77.74,-3.52,2.4,3238.29,1124.91,643.21,0.35,0.2,长脉冲,有效,323.314,133.635,0,0,0
搜索,2025-1225-15 07:54:48:000,573594,76.91,-2.5,0,10344,107,710,76.52,1.12,78,5165.31,815.69,3965.53,0.16,0.77,短脉冲,有效,395.169,426.561,0,0,0
搜索,2025-1225-15 07:54:48:000,573624,79.87,-2.5,0,10355,107,2594,80.45,-2.1,-2.4,12619.39,3046.91,631.58,0.24,0.05,长脉冲,有效,1094.018,1764.557,0,0,0
搜索,2025-1225-15 07:54:48:000,573647,82.42,27.5,0,10361,107,710,83.34,30.54,9.7,4751.36,1844,2966.01,0.39,0.63,短脉冲,无效,387.668,255.177,0,0,0
搜索,2025-1225-15 07:54:48:000,573648,82.52,32.5,0,10362,107,710,83.13,30.96,9.7,8777.3,2247.37,2521.66,0.25,0.28,短脉冲,无效,1197.349,281.878,0,0,0
搜索,2025-1225-15 07:54:48:000,573655,82.91,-2.5,0,10366,107,488,82.06,-3.44,78,14605.06,5205.71,2681.85,0.36,0.19,短脉冲,有效,459.202,948.282,0,0,0
搜索,2025-1225-15 07:54:48:000,573655,82.91,-2.5,0,10366,107,500,83.05,-1.67,-76.8,7447.6,447.9,963.64,0.06,0.13,短脉冲,有效,411.81,527.869,0,0,0
搜索,2025-1225-15 07:54:48:000,573655,82.91,-2.5,0,10366,107,1100,82.98,-1.3,78,16407.93,547.56,3310.92,0.03,0.2,短脉冲,有效,732.954,1208.058,0,0,0
搜索,2025-1225-15 07:54:48:000,573678,85.5,27.5,0,10372,107,716,84.01,30.03,9.7,4028.03,2730.97,1997.32,0.68,0.49,短脉冲,无效,311.765,240.707,0,0,0
搜索,2025-1225-15 07:54:48:000,573686,85.99,-2.5,0,10377,107,5340,84.92,-3.31,2.4,2711.95,1246.38,436.95,0.46,0.16,长脉冲,有效,371.499,440.822,0,0,0
搜索,2025-1225-15 07:54:48:000,573686,85.99,-2.5,0,10377,107,278,86.46,-3.25,3.6,7294.1,1435.42,1102.11,0.19,0.16,短脉冲,有效,413.089,572.309,0,0,0
搜索,2025-1225-15 07:54:48:000,573693,86.59,2.5,0,10378,107,284,86.84,0.83,3.6,4413.2,469.86,1370.72,0.11,0.31,短脉冲,有效,295.903,291.352,0,0,0
搜索,2025-1225-15 07:54:48:000,573693,86.59,2.5,0,10378,107,272,86.75,2.17,-3.6,4267.63,286.76,329.89,0.06,0.08,短脉冲,有效,287.786,247.509,0,0,0
搜索,2025-1225-15 07:54:48:000,573829,100.18,17.5,0,10425,107,278,98.7,15.24,0,8057.68,5441.64,3391.91,0.68,0.43,短脉冲,无效,880.042,975.594,0,0,0
搜索,2025-1225-15 07:54:48:000,576808,30.88,12.5,0,11491,108,404,31.98,11.73,0,15661.01,7387.82,2390.58,0.47,0.16,短脉冲,无效,1698.646,1743.266,0,0,0
搜索,2025-1225-15 07:54:48:000,576809,31.08,17.5,0,11492,108,398,32.3,19.1,0,19613.8,10293.37,5602.13,0.52,0.28,短脉冲,无效,1210.477,2757.783,0,0,0
搜索,2025-1225-15 07:54:48:000,576810,31.18,22.5,0,11493,108,356,31.96,19.06,0,20119.62,6539.69,16543.45,0.33,0.82,短脉冲,无效,517.941,2162.014,0,0,0
搜索,2025-1225-15 07:54:48:000,576819,31.76,-2.5,0,11499,108,1658,29.89,-3.27,9.7,490.89,463.24,75.64,0.94,0.16,长脉冲,有效,51.784,71.569,0,0,0
搜索,2025-1225-15 07:54:48:000,576840,34.07,17.5,0,11503,108,398,33.47,14.9,0,25741.14,6337.47,12628.63,0.25,0.49,短脉冲,无效,2882.479,1306.468,0,0,0
搜索,2025-1225-15 07:54:48:000,576850,34.73,-2.5,0,11510,108,824,35.83,-5.06,76.8,9565.49,4474.85,4644.35,0.47,0.49,短脉冲,有效,588.093,738.222,0,0,0
搜索,2025-1225-15 07:54:48:000,576870,36.78,12.5,0,11513,108,428,35.45,10.85,0,14486.91,8528.97,4456.12,0.58,0.31,短脉冲,无效,1402.321,1220.734,0,0,0
搜索,2025-1225-15 07:54:48:000,576872,37.28,27.5,0,11516,108,422,38.37,31.54,0,3152.38,1467.08,2735.73,0.47,0.87,短脉冲,无效,424.841,403.165,0,0,0
搜索,2025-1225-15 07:54:48:000,576872,37.28,27.5,0,11516,108,1202,38.15,24.07,0,1071.3,392.19,899.86,0.36,0.83,短脉冲,无效,95.683,150.513,0,0,0
