工作/测试,时间,fpga时间,机械方位角,俯仰波束中心角,跟踪航迹号,CPI计数,周期计数,点迹距离,点迹方位,点迹俯仰,点迹速度,和路强度,方位强度,俯仰强度,方位差和比,俯仰差和比,波形模式,点迹多普勒标志,多普勒基底,距离基底,航向角,纵摇角,横摇角
搜索,2025-1225-17 09:17:33:100,3977367,87.33,-2.5,0,52530,437,1227,85.47,-1.92,78,292.31,273.1,24.52,0.93,0.08,长脉冲,有效,45.667,38.387,0,0,0
搜索,2025-1225-17 09:17:33:100,3977382,88.68,7.5,0,52532,437,356,88.24,8.03,15.8,16812.38,3041.22,1264.85,0.17,0.08,短脉冲,有效,1029.797,1145.637,0,0,0
搜索,2025-1225-17 09:17:33:200,3977481,98.73,22.5,0,52568,437,278,99.62,19.87,0,9275.6,3460.89,4619.13,0.38,0.5,短脉冲,无效,740.024,718.794,0,0,0
搜索,2025-1225-17 09:17:33:300,3977510,101.61,17.5,0,52578,437,350,102.29,19.59,0,9393.55,2665.34,3688.8,0.28,0.39,短脉冲,无效,870.875,763.971,0,0,0
搜索,2025-1225-17 09:17:36:200,3980489,32.24,12.5,0,53644,438,428,31.48,9.2,0,20355.39,6485.27,14134.51,0.31,0.69,短脉冲,无效,1916.965,1640.178,0,0,0
搜索,2025-1225-17 09:17:36:200,3980500,33.2,-2.5,0,53652,438,1299,34.49,-2.94,2.4,350.11,196.15,34.33,0.57,0.09,长脉冲,有效,39.592,52.613,0,0,0
搜索,2025-1225-17 09:17:36:200,3980520,35.21,12.5,0,53655,438,422,36.25,13.61,0,15015.8,6619.23,2804.82,0.44,0.19,短脉冲,无效,1341.02,1314.775,0,0,0
搜索,2025-1225-17 09:17:36:200,3980522,35.59,22.5,0,53657,438,596,36.05,25.14,0,1733.35,334.33,908.87,0.19,0.52,短脉冲,无效,237.091,159.535,0,0,0
搜索,2025-1225-17 09:17:36:300,3980531,36.09,-2.5,0,53663,438,812,35.49,-1.74,-2.4,7671.53,1904.32,902.36,0.25,0.11,短脉冲,有效,420.392,612.143,0,0,0
搜索,2025-1225-17 09:17:36:300,3980552,38.45,17.5,0,53667,438,416,39.07,14.59,0,21183.13,5448.48,11989.97,0.25,0.57,短脉冲,无效,1374.363,1746.039,0,0,0
搜索,2025-1225-17 09:17:36:300,3980562,39.16,-2.5,0,53674,438,1202,39.81,-5.89,-2.4,9872.7,2662.42,7443.9,0.27,0.76,短脉冲,有效,766.533,497.695,0,0,0
搜索,2025-1225-17 09:17:36:300,3980562,39.16,-2.5,0,53674,438,1208,38.93,0,2.4,13656.67,1266.97,6638.45,0.09,0.49,短脉冲,有效,821.624,719.18,0,0,0
搜索,2025-1225-17 09:17:36:300,3980582,41.53,17.5,0,53678,438,422,41.62,14.08,0,12351.3,478.79,10489.48,0.03,0.85,短脉冲,无效,1032.94,1229.114,0,0,0
搜索,2025-1225-17 09:17:36:400,3980612,44.24,12.5,0,53688,438,1502,45.84,9.07,0,2206.29,1603.26,1857.82,0.72,0.83,长脉冲,无效,261.698,218.968,0,0,0
搜索,2025-1225-17 09:17:36:400,3980613,44.52,17.5,0,53689,438,434,44.08,21.63,0,15147.79,2730.37,13455,0.17,0.88,短脉冲,无效,1049.583,1330.18,0,0,0
搜索,2025-1225-17 09:17:36:400,3980613,44.52,17.5,0,53689,438,464,45.14,18.04,0,11237.99,2927.26,881.42,0.27,0.08,短脉冲,无效,1090.781,1530.308,0,0,0
搜索,2025-1225-17 09:17:36:400,3980614,44.62,22.5,0,53690,438,434,44.02,19.39,0,11906.41,2939.94,11673.98,0.25,0.98,短脉冲,无效,409.773,807.239,0,0,0
搜索,2025-1225-17 09:17:36:400,3980623,45.2,-2.5,0,53696,438,290,44.49,-3.77,2.4,8396.33,2480.59,2029.9,0.3,0.24,短脉冲,有效,590.59,550.846,0,0,0
